"guideline","version","file_desc","type","host","method","site","mo","rank_index","ab","disk_dose","breakpoint_S","breakpoint_R","note","sheet"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Amoxicillin",NA,"Note","Note","[A] In E. faecalis, susceptibility to ampicillin, amoxicillin and piperacillin (with and without beta-lactamase inhibitor) is the expected phenotype, while in E. faecium, resistance is common. Isolates resistant to ampicillin can be reported resistant to ampicillin, amoxicillin and piperacillin (with or without inhibitor). For E. faecalis that test resistant to ampicillin with disk diffusion, confirm with an MIC test. | [1] Aminopenicillin breakpoints in enterococci are based on intravenous administration. For oral administration the breakpoints are relevant for urinary tract infections only.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Amoxicillin-clavulanic acid",NA,"4","8","[2] In E. faecalis, susceptibility to ampicillin, amoxicillin and piperacillin (with and without beta-lactamase inhibitor) is the expected phenotype, while in E. faecium, resistance is common. Isolates resistant to ampicillin can be reported resistant to ampicillin, amoxicillin and piperacillin (with or without inhibitor). For E. faecalis that test resistant to ampicillin with disk diffusion, confirm with an MIC test. | [4] For susceptibility testing purposes, the concentration of clavulanic acid is fixed at 2 mg/L. | [1] Aminopenicillin breakpoints in enterococci are based on intravenous administration. For oral administration the breakpoints are relevant for urinary tract infections only.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Amoxicillin-clavulanic acid",NA,"Note","Note","[A] In E. faecalis, susceptibility to ampicillin, amoxicillin and piperacillin (with and without beta-lactamase inhibitor) is the expected phenotype, while in E. faecium, resistance is common. Isolates resistant to ampicillin can be reported resistant to ampicillin, amoxicillin and piperacillin (with or without inhibitor). For E. faecalis that test resistant to ampicillin with disk diffusion, confirm with an MIC test. | [1] Aminopenicillin breakpoints in enterococci are based on intravenous administration. For oral administration the breakpoints are relevant for urinary tract infections only.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Piperacillin",NA,"Note","Note","[2] In E. faecalis, susceptibility to ampicillin, amoxicillin and piperacillin (with and without beta-lactamase inhibitor) is the expected phenotype, while in E. faecium, resistance is common. Isolates resistant to ampicillin can be reported resistant to ampicillin, amoxicillin and piperacillin (with or without inhibitor). For E. faecalis that test resistant to ampicillin with disk diffusion, confirm with an MIC test.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Piperacillin",NA,"Note","Note","[A] In E. faecalis, susceptibility to ampicillin, amoxicillin and piperacillin (with and without beta-lactamase inhibitor) is the expected phenotype, while in E. faecium, resistance is common. Isolates resistant to ampicillin can be reported resistant to ampicillin, amoxicillin and piperacillin (with or without inhibitor). For E. faecalis that test resistant to ampicillin with disk diffusion, confirm with an MIC test.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Piperacillin-tazobactam",NA,"Note","Note","[2] In E. faecalis, susceptibility to ampicillin, amoxicillin and piperacillin (with and without beta-lactamase inhibitor) is the expected phenotype, while in E. faecium, resistance is common. Isolates resistant to ampicillin can be reported resistant to ampicillin, amoxicillin and piperacillin (with or without inhibitor). For E. faecalis that test resistant to ampicillin with disk diffusion, confirm with an MIC test.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Piperacillin-tazobactam",NA,"Note","Note","[A] In E. faecalis, susceptibility to ampicillin, amoxicillin and piperacillin (with and without beta-lactamase inhibitor) is the expected phenotype, while in E. faecium, resistance is common. Isolates resistant to ampicillin can be reported resistant to ampicillin, amoxicillin and piperacillin (with or without inhibitor). For E. faecalis that test resistant to ampicillin with disk diffusion, confirm with an MIC test.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Imipenem",NA,"0.001","4",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Imipenem","10 mcg","50","21",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Imipenem-relebactam",NA,"Note","Note","[1] The addition of a beta-lactamase inhibitor does not add clinical benefit.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Imipenem-relebactam",NA,"Note","Note","[1/A] The addition of a beta-lactamase inhibitor does not add clinical benefit.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Ciprofloxacin (uncomplicated UTI only)",NA,"4","4",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Ciprofloxacin (uncomplicated UTI only)","5 mcg","15","15","[A] The norfloxacin disk diffusion test can be used to screen for fluoroquinolone resistance. See Note","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Delafloxacin",NA,"IE","IE",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Delafloxacin",NA,"IE","IE",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Levofloxacin (uncomplicated UTI only)",NA,"4","4",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Levofloxacin (uncomplicated UTI only)","5 mcg","15","15","[A] The norfloxacin disk diffusion test can be used to screen for fluoroquinolone resistance. See Note","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Moxifloxacin",NA,"Note","Note","[1] Moxifloxacin has been used in oral follow-up treatment of endocarditis caused by Enterococcus spp. There are no clinical breakpoints but acquired resistance should be excluded (isolates with MIC >1 mg/L). The norfloxacin disk diffusion screen test can be used to exclude resistance mechanisms. When excluded, the isolate should be reported “devoid of fluoroquinolone resistance mechanisms”, but not as susceptible to moxifloxacin.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Moxifloxacin",NA,"Note","Note","[B] Moxifloxacin has been used in oral follow-up treatment of endocarditis caused by Enterococcus spp. There are no clinical breakpoints but acquired resistance should be excluded (isolates with MIC >1 mg/L). The norfloxacin disk diffusion screen test can be used to exclude resistance mechanisms. When excluded, the isolate should be reported “devoid of fluoroquinolone resistance mechanisms”, but not as susceptible to moxifloxacin.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Norfloxacin (screen only)","10 mcg","12","12","[C]  | [C] Susceptibility to ciprofloxacin and levofloxacin can be inferred from the norfloxacin disk diffusion screening test. For moxifloxacin, see comment 1/B.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Amikacin",NA,"Note","Note","[2] Gentamicin can be used to screen for high-level aminoglycoside resistance (HLAR). 
Negative test: Isolates with gentamicin MIC ≤128 mg/L or a zone diameter ≥8 mm. The isolate is wild type for gentamicin and low-level intrinsic resistant. For other aminoglycosides, this may not be the case. Synergy with penicillins or glycopeptides can be expected if the isolate is susceptible to the penicillin or glycopeptide. 
Positive test: Isolates with gentamicin MIC >128 mg/L or a zone diameter <8 mm. The isolate is high-level resistant to gentamicin and other aminoglycosides, except streptomycin which must be tested separately if required (see note 3/B). There will be no synergy with penicillins or glycopeptides.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Amikacin",NA,"Note","Note","[A] Gentamicin can be used to screen for high-level aminoglycoside resistance (HLAR). 
Negative test: Isolates with gentamicin MIC ≤128 mg/L or a zone diameter ≥8 mm. The isolate is wild type for gentamicin and low-level intrinsic resistant. For other aminoglycosides, this may not be the case. Synergy with penicillins or glycopeptides can be expected if the isolate is susceptible to the penicillin or glycopeptide. 
Positive test: Isolates with gentamicin MIC >128 mg/L or a zone diameter <8 mm. The isolate is high-level resistant to gentamicin and other aminoglycosides, except streptomycin which must be tested separately if required (see note 3/B). There will be no synergy with penicillins or glycopeptides.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Gentamicin (test for high-level aminoglycoside resistance)",NA,"Note","Note","[2] Gentamicin can be used to screen for high-level aminoglycoside resistance (HLAR). 
Negative test: Isolates with gentamicin MIC ≤128 mg/L or a zone diameter ≥8 mm. The isolate is wild type for gentamicin and low-level intrinsic resistant. For other aminoglycosides, this may not be the case. Synergy with penicillins or glycopeptides can be expected if the isolate is susceptible to the penicillin or glycopeptide. 
Positive test: Isolates with gentamicin MIC >128 mg/L or a zone diameter <8 mm. The isolate is high-level resistant to gentamicin and other aminoglycosides, except streptomycin which must be tested separately if required (see note 3/B). There will be no synergy with penicillins or glycopeptides.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Gentamicin (test for high-level aminoglycoside resistance)","30 mcg","Note","Note","[A] Gentamicin can be used to screen for high-level aminoglycoside resistance (HLAR). 
Negative test: Isolates with gentamicin MIC ≤128 mg/L or a zone diameter ≥8 mm. The isolate is wild type for gentamicin and low-level intrinsic resistant. For other aminoglycosides, this may not be the case. Synergy with penicillins or glycopeptides can be expected if the isolate is susceptible to the penicillin or glycopeptide. 
Positive test: Isolates with gentamicin MIC >128 mg/L or a zone diameter <8 mm. The isolate is high-level resistant to gentamicin and other aminoglycosides, except streptomycin which must be tested separately if required (see note 3/B). There will be no synergy with penicillins or glycopeptides.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Netilmicin",NA,"Note","Note","[2] Gentamicin can be used to screen for high-level aminoglycoside resistance (HLAR). 
Negative test: Isolates with gentamicin MIC ≤128 mg/L or a zone diameter ≥8 mm. The isolate is wild type for gentamicin and low-level intrinsic resistant. For other aminoglycosides, this may not be the case. Synergy with penicillins or glycopeptides can be expected if the isolate is susceptible to the penicillin or glycopeptide. 
Positive test: Isolates with gentamicin MIC >128 mg/L or a zone diameter <8 mm. The isolate is high-level resistant to gentamicin and other aminoglycosides, except streptomycin which must be tested separately if required (see note 3/B). There will be no synergy with penicillins or glycopeptides.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Netilmicin",NA,"Note","Note","[A] Gentamicin can be used to screen for high-level aminoglycoside resistance (HLAR). 
Negative test: Isolates with gentamicin MIC ≤128 mg/L or a zone diameter ≥8 mm. The isolate is wild type for gentamicin and low-level intrinsic resistant. For other aminoglycosides, this may not be the case. Synergy with penicillins or glycopeptides can be expected if the isolate is susceptible to the penicillin or glycopeptide. 
Positive test: Isolates with gentamicin MIC >128 mg/L or a zone diameter <8 mm. The isolate is high-level resistant to gentamicin and other aminoglycosides, except streptomycin which must be tested separately if required (see note 3/B). There will be no synergy with penicillins or glycopeptides.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Streptomycin (test for high-level streptomycin resistance)",NA,"Note","Note","[3] Isolates with high-level gentamicin resistance may not be high-level resistant to streptomycin. 
Negative test: Isolates with streptomycin MIC ≤512 mg/L or a zone diameter ≥14 mm. The isolate is wild type for streptomycin and low-level intrinsic resistant. Synergy with penicillins or glycopeptides can be expected if the isolate is susceptible to the penicillin or glycopeptide.
Positive test: Isolates with streptomycin MIC >512 mg/L or a zone diameter <14 mm. The isolate is high-level resistant to streptomycin. There will be no synergy with penicillins or glycopeptides.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Streptomycin (test for high-level streptomycin resistance)","300 mcg","Note","Note","[B] Isolates with high-level gentamicin resistance may not be high-level resistant to streptomycin. 
Negative test: Isolates with streptomycin MIC ≤512 mg/L or a zone diameter ≥14 mm. The isolate is wild type for streptomycin and low-level intrinsic resistant. Synergy with penicillins or glycopeptides can be expected if the isolate is susceptible to the penicillin or glycopeptide.
Positive test: Isolates with streptomycin MIC >512 mg/L or a zone diameter <14 mm. The isolate is high-level resistant to streptomycin. There will be no synergy with penicillins or glycopeptides.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Tobramycin",NA,"Note","Note","[2] Gentamicin can be used to screen for high-level aminoglycoside resistance (HLAR). 
Negative test: Isolates with gentamicin MIC ≤128 mg/L or a zone diameter ≥8 mm. The isolate is wild type for gentamicin and low-level intrinsic resistant. For other aminoglycosides, this may not be the case. Synergy with penicillins or glycopeptides can be expected if the isolate is susceptible to the penicillin or glycopeptide. 
Positive test: Isolates with gentamicin MIC >128 mg/L or a zone diameter <8 mm. The isolate is high-level resistant to gentamicin and other aminoglycosides, except streptomycin which must be tested separately if required (see note 3/B). There will be no synergy with penicillins or glycopeptides.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Tobramycin",NA,"Note","Note","[A] Gentamicin can be used to screen for high-level aminoglycoside resistance (HLAR). 
Negative test: Isolates with gentamicin MIC ≤128 mg/L or a zone diameter ≥8 mm. The isolate is wild type for gentamicin and low-level intrinsic resistant. For other aminoglycosides, this may not be the case. Synergy with penicillins or glycopeptides can be expected if the isolate is susceptible to the penicillin or glycopeptide. 
Positive test: Isolates with gentamicin MIC >128 mg/L or a zone diameter <8 mm. The isolate is high-level resistant to gentamicin and other aminoglycosides, except streptomycin which must be tested separately if required (see note 3/B). There will be no synergy with penicillins or glycopeptides.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Dalbavancin",NA,"IE","IE",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Dalbavancin",NA,"IE","IE",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Oritavancin",NA,"IE","IE",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Oritavancin",NA,"IE","IE",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Teicoplanin",NA,"2","2",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Teicoplanin","30 mcg","16","16",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Telavancin",NA,"IE","IE",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Telavancin",NA,"IE","IE",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Vancomycin",NA,"4","4",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Vancomycin","5 mcg","12","12","[A] Vancomycin susceptible enterococci exhibit sharp zone edges and do not exhibit colonies in the inhibition zone. Examine zone edges with transmitted light (plate held up to light). If the zone edge is fuzzy, colonies grow within the zone  or if you are uncertain, then perform confirmatory testing with PCR or report resistant (see pictures below) even if the zone diameter is ≥ 12 mm. Isolates must not be reported susceptible before 24 h incubation.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"E. faecium",NA,"Quinupristin-dalfopristin",NA,"1","1",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"E. faecium",NA,"Quinupristin-dalfopristin","15 mcg","22","22",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"E. faecalis",NA,"Eravacycline",NA,"0.125","0.125",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"E. faecalis",NA,"Eravacycline","20 mcg","22","22",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"E. faecium",NA,"Eravacycline",NA,"0.125","0.125",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"E. faecium",NA,"Eravacycline","20 mcg","24","24",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"E. faecalis",NA,"Tigecycline",NA,"0.25","0.25","[2] For tigecycline broth microdilution MIC determination, the medium must be prepared fresh on the day of use. | [1] Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"E. faecalis",NA,"Tigecycline","15 mcg","20","20","[1] Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"E. faecium",NA,"Tigecycline",NA,"0.25","0.25","[2] For tigecycline broth microdilution MIC determination, the medium must be prepared fresh on the day of use. | [1] Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"E. faecium",NA,"Tigecycline","15 mcg","22","22","[1] Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Linezolid",NA,"4","4",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Linezolid","10 mcg","20","20",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Tedizolid",NA,"IE","IE",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Tedizolid",NA,"IE","IE",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Daptomycin",NA,"IE","IE","[1] For more information, see https://www.eucast.org/eucastguidancedocuments/.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Daptomycin",NA,"IE","IE","[1] For more information, see https://www.eucast.org/eucastguidancedocuments/.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Lefamulin",NA,"Note","Note","[2] Lefamulin has insufficient activity against E. faecalis. For E. faecium, the ECOFF of 0.5 mg/L can be used to distinguish wild type from non-wild type isolates.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Lefamulin",NA,"Note","Note","[A] Lefamulin has insufficient activity against E. faecalis. For E. faecium, the ECOFF of 0.5 mg/L can be used to distinguish wild type from non-wild type isolates.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"E. faecalis",NA,"Nitrofurantoin (uncomplicated UTI only)",NA,"64","64",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"E. faecalis",NA,"Nitrofurantoin (uncomplicated UTI only)","100 mcg","15","15",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Nitroxoline (uncomplicated UTI only)",NA,"IE","IE",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Nitroxoline (uncomplicated UTI only)",NA,"IE","IE",NA,"Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Trimethoprim (uncomplicated UTI only)",NA,"Note","Note","[3] The activity of trimethoprim and trimethoprim-sulfamethoxazole is uncertain against enterococci, and it is not possible to predict clinical outcome. The ECOFF to categorise isolates as wild type or non-wild type for both E. faecalis and E. faecium is 1 mg/L, with a corresponding zone diameter ECOFF of 21 mm for trimethoprim and 23 mm for trimethoprim-sulfamethoxazole.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Trimethoprim (uncomplicated UTI only)","5 mcg","Note","Note","[B] The activity of trimethoprim and trimethoprim-sulfamethoxazole is uncertain against enterococci, and it is not possible to predict clinical outcome. The ECOFF to categorise isolates as wild type or non-wild type for both E. faecalis and E. faecium is 1 mg/L, with a corresponding zone diameter ECOFF of 21 mm for trimethoprim and 23 mm for trimethoprim-sulfamethoxazole.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Enterococcus spp.",NA,"Trimethoprim-sulfamethoxazole",NA,"Note","Note","[3] The activity of trimethoprim and trimethoprim-sulfamethoxazole is uncertain against enterococci, and it is not possible to predict clinical outcome. The ECOFF to categorise isolates as wild type or non-wild type for both E. faecalis and E. faecium is 1 mg/L, with a corresponding zone diameter ECOFF of 21 mm for trimethoprim and 23 mm for trimethoprim-sulfamethoxazole. | [4] Trimethoprim-sulfamethoxazole in the ratio 1:19. Breakpoints are expressed as the trimethoprim concentration.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Enterococcus spp.",NA,"Trimethoprim-sulfamethoxazole","1.25/23.75 mcg","Note","Note","[B] The activity of trimethoprim and trimethoprim-sulfamethoxazole is uncertain against enterococci, and it is not possible to predict clinical outcome. The ECOFF to categorise isolates as wild type or non-wild type for both E. faecalis and E. faecium is 1 mg/L, with a corresponding zone diameter ECOFF of 21 mm for trimethoprim and 23 mm for trimethoprim-sulfamethoxazole. | [4] Trimethoprim-sulfamethoxazole in the ratio 1:19. Breakpoints are expressed as the trimethoprim concentration.","Enterococcus"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Streptococcus groups A, B, C and G",NA,"Benzylpenicillin (indications other than meningitis)",NA,"0.25","0.25",NA,"Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Streptococcus groups A, B, C and G",NA,"Benzylpenicillin (indications other than meningitis)","1 unit","18","18",NA,"Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"S. agalactiae (group B streptococci)",NA,"Benzylpenicillin (meningitis)",NA,"0.125","0.125",NA,"Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"S. agalactiae (group B streptococci)",NA,"Benzylpenicillin (meningitis)","1 unit","19","19",NA,"Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Streptococcus groups A, B, C and G",NA,"Ampicillin",NA,"Note","Note","[1] The susceptibility of streptococcus groups A, B, C and G to penicillins is inferred from the benzylpenicillin susceptibility (indications other than meningitis) with the exception of phenoxymethylpenicillin and isoxazolylpenicillins for streptococcus group B, for which therapy with either of these agents is considered inadequate. 2.Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Streptococcus groups A, B, C and G",NA,"Ampicillin",NA,"Note","Note","[A] The susceptibility of streptococcus groups A, B, C and G to penicillins is inferred from the benzylpenicillin susceptibility (indications other than meningitis) with the exception of phenoxymethylpenicillin and isoxazolylpenicillins for streptococcus group B, for which therapy with either of these agents is considered inadequate. 2.Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Streptococcus groups A, B, C and G",NA,"Ampicillin-sulbactam",NA,"Note","Note","[1] The susceptibility of streptococcus groups A, B, C and G to penicillins is inferred from the benzylpenicillin susceptibility (indications other than meningitis) with the exception of phenoxymethylpenicillin and isoxazolylpenicillins for streptococcus group B, for which therapy with either of these agents is considered inadequate. 2.Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory. | [3] The addition of a beta-lactamase inhibitor does not add clinical benefit.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","DISK",NA,"Streptococcus groups A, B, C and G",NA,"Ampicillin-sulbactam",NA,"Note","Note","[A] The susceptibility of streptococcus groups A, B, C and G to penicillins is inferred from the benzylpenicillin susceptibility (indications other than meningitis) with the exception of phenoxymethylpenicillin and isoxazolylpenicillins for streptococcus group B, for which therapy with either of these agents is considered inadequate. 2.Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory. | [3] The addition of a beta-lactamase inhibitor does not add clinical benefit.","Streptococcus A,B,C,G"
"EUCAST 2023","13.1","Clinical Breakpoint Tables v. 13.1","human","human","MIC",NA,"Streptococcus groups A, B, C and G",NA,"Amoxicillin",NA,"Note","Note","[1] The susceptibility of streptococcus groups A, B, C and G to penicillins is inferred from the benzylpenicillin susceptibility (indications other than meningitis) with the exception of phenoxymethylpenicillin and isoxazolylpenicillins for streptococcus group B, for which therapy with either of these agents is considered inadequate. 2.Resistant isolates are rare or not yet reported. The identification and antimicrobial susceptibility test result on any such isolate must be confirmed and the isolate sent to a reference laboratory.","Streptococcus A,B,C,G"
