"guideline","version","file_desc","type","host","method","site","mo","rank_index","ab","disk_dose","breakpoint_S","breakpoint_R","note","sheet"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Morganella morganii,Proteus spp. and Providencia spp.",NA,"Imipenem","10 mcg","50","17","[2] The intrinsically low activity of imipenem against Morganella morganii,Proteus spp. and Providencia spp. requires the high exposure of imipenem.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Meropenem",NA,"2","8",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Meropenem","10 mcg","22","16",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Meropenem-vaborbactam",NA,"8","8","[3] For susceptibility testing purposes, the concentration of vaborbactam is fixed at 8 mg/L.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Meropenem-vaborbactam","IP mcg","IP","IP",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Aztreonam",NA,"1","4","[1] The aztreonam breakpoints for Enterobacterales will detect clinically important resistance mechanisms (including ESBL). Some isolates that produce beta-lactamases are susceptible to aztreonam with these breakpoints and should be reported as tested, i.e. the presence or absence of an ESBL does not in itself influence the categorisation of susceptibility. ESBL detection and characterisation are recommended for public health and infection control purposes.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Aztreonam","30 mcg","26","21","[1] The aztreonam breakpoints for Enterobacterales will detect clinically important resistance mechanisms (including ESBL). Some isolates that produce beta-lactamases are susceptible to aztreonam with these breakpoints and should be reported as tested, i.e. the presence or absence of an ESBL does not in itself influence the categorisation of susceptibility. ESBL detection and characterisation are recommended for public health and infection control purposes.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Ciprofloxacin",NA,"0.25","0.5",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Ciprofloxacin","5 mcg","25","22",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Salmonella spp.",NA,"Ciprofloxacin",NA,"0.06","0.06","[1] There is clinical evidence for ciprofloxacin to indicate a poor response in systemic infections caused by Salmonella spp. with low-level ciprofloxacin resistance (MIC >0.06 mg/L). The available data relate mainly to  Salmonella Typhi but there are also case reports of poor response with other Salmonella species.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Salmonella spp.",NA,"Ciprofloxacin",NA,"Note","Note","[A] Tests with a ciprofloxacin 5 µg disk will not reliably detect low-level resistance in Salmonella spp. To screen for ciprofloxacin resistance in Salmonella spp., use the pefloxacin 5 µg disk. See Note | [1] There is clinical evidence for ciprofloxacin to indicate a poor response in systemic infections caused by Salmonella spp. with low-level ciprofloxacin resistance (MIC >0.06 mg/L). The available data relate mainly to  Salmonella Typhi but there are also case reports of poor response with other Salmonella species.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Salmonella spp.",NA,"Pefloxacin (screen)","5 mcg","24","24","[B]  | [B] Susceptibility of Salmonella spp. to ciprofloxacin can be inferred from pefloxacin disk diffusion susceptibility. | [1] There is clinical evidence for ciprofloxacin to indicate a poor response in systemic infections caused by Salmonella spp. with low-level ciprofloxacin resistance (MIC >0.06 mg/L). The available data relate mainly to  Salmonella Typhi but there are also case reports of poor response with other Salmonella species.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Levofloxacin",NA,"0.5","1",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Levofloxacin","5 mcg","23","19",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Moxifloxacin",NA,"0.25","0.25",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Moxifloxacin","5 mcg","22","22",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Norfloxacin (uncomplicated UTI only)",NA,"0.5","1",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Norfloxacin (uncomplicated UTI only)","10 mcg","22","19",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Ofloxacin",NA,"0.25","0.5",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Ofloxacin","5 mcg","24","22",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Amikacin",NA,"8","16",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Amikacin","30 mcg","18","15",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Gentamicin",NA,"2","4",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Gentamicin","10 mcg","17","14",NA,"Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Netilmicin",NA,"2","4",NA,"Enterobacterales"
