Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Microorganism	PHVS_Microorganism_CDC	2.16.840.1.114222.4.11.1009	12	Microorganisms/infectious agents	Published	09/01/2020	Value set updated based on the September 1, 2020 US Edition of SNOMED CT 

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
712771002	Achromobacter dolens (organism)	Achromobacter dolens (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413415000	Achromobacter group B (organism)	Achromobacter group B (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413416004	Achromobacter group E (organism)	Achromobacter group E (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413417008	Achromobacter insolitus (organism)	Achromobacter insolitus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
719607009	Achromobacter insuavis (organism)	Achromobacter insuavis (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413418003	Achromobacter lyticus (organism)	Achromobacter lyticus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
698064003	Achromobacter marplatensis (organism)	Achromobacter marplatensis (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
709295009	Achromobacter mucicolens (organism)	Achromobacter mucicolens (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413419006	Achromobacter obae (organism)	Achromobacter obae (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413420000	Achromobacter piechaudii (organism)	Achromobacter piechaudii (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
712769002	Achromobacter pulmonis (organism)	Achromobacter pulmonis (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413421001	Achromobacter ruhlandii (organism)	Achromobacter ruhlandii (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413422008	Achromobacter spanius (organism)	Achromobacter spanius (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
413424009	Achromobacter xylosoxidans (organism)	Achromobacter xylosoxidans (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
423897003	Achromobacter xylosoxidans xylosoxidans (organism)	Achromobacter xylosoxidans xylosoxidans (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
59995003	Achromobacter, group Vd biotype 1 (organism)	Achromobacter, group Vd biotype 1 (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
55156008	Achromobacter, group Vd biotype 2 (organism)	Achromobacter, group Vd biotype 2 (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
243367006	Acid and alcohol-fast bacillus (organism)	Acid and alcohol-fast bacillus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
425018008	Acidaminobacter hydrogenoformans (organism)	Acidaminobacter hydrogenoformans (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
699380007	Acidaminococcaceae (organism)	Acidaminococcaceae (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
63005002	Acidaminococcus fermentans (organism)	Acidaminococcus fermentans (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
2601000146107	Acidaminococcus intestini (organism)	Acidaminococcus intestini (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
243365003	Acid-fast bacillus (organism)	Acid-fast bacillus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
423034008	Acidianus ambivalens (organism)	Acidianus ambivalens (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
425930000	Acidianus brierley (organism)	Acidianus brierley (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
423598002	Acidianus infernus (organism)	Acidianus infernus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
