"fullname"	"fullname_new"	"ref"	"prevalence"
"Actinomadura roseoviolacea"	"Nonomuraea roseoviolacea"	"Nonomura et al., 1971"	2
"Actinomadura rubra"	"Nonomuraea rubra"	"Meyer et al., 1974"	2
"Actinomadura rubrobrunea"	"Actinomadura viridilutea"	"Kroppenstedt et al., 2018"	2
"Actinomadura salmonea"	"Nonomuraea salmonea"	"Preobrazhenskaya et al., 1975"	2
"Actinomadura spadix"	"Actinoallomurus spadix"	"Nonomura et al., 1971"	2
"Actinomadura spiralis"	"Nonomuraea spiralis"	"Meyer, 1981"	2
"Actinomadura turkmeniaca"	"Nonomuraea turkmeniaca"	"Terekhova et al., 1982"	2
"Actinomadura umbrina"	"Thermomonospora umbrina"	"Galatenko et al., 1987"	2
"Actinomortierella ambigua"	"Mortierella ambigua"	"Chalab, 1973"	2
"Actinomortierella capitata"	"Mortierella capitata"	"Chalab, 1973"	2
"Actinomortierella wolfii"	"Mortierella wolfii"	"Chalab, 1973"	2
"Actinomyces bernardiae"	"Trueperella bernardiae"	"Funke et al., 1995"	2
"Actinomyces canis"	"Schaalia canis"	"Hoyles et al., 2000"	2
"Actinomyces cardiffensis"	"Schaalia cardiffensis"	"Hall et al., 2003"	2
"Actinomyces coleocanis"	"Gleimia coleocanis"	"Hoyles et al., 2002"	2
"Actinomyces europaeus"	"Gleimia europaea"	"Funke et al., 1997"	2
"Actinomyces funkei"	"Schaalia funkei"	"Lawson et al., 2001"	2
"Actinomyces georgiae"	"Schaalia georgiae"	"Johnson et al., 1990"	2
"Actinomyces hominis"	"Gleimia hominis"	"Funke et al., 2010"	2
"Actinomyces hongkongensis"	"Pauljensenia hongkongensis"	"Woo et al., 2004"	2
"Actinomyces hordeovulneris"	"Buchananella hordeovulneris"	"Buchanan et al., 1984"	2
"Actinomyces humiferus"	"Cellulomonas humilata"	"Gledhill et al., 1969"	2
"Actinomyces hyovaginalis"	"Schaalia hyovaginalis"	"Collins et al., 1993"	2
"Actinomyces liubingyangii"	"Boudabousia liubingyangii"	"Meng et al., 2017"	2
"Actinomyces marimammalium"	"Boudabousia marimammalium"	"Hoyles et al., 2001"	2
"Actinomyces meyeri"	"Schaalia meyeri"	"Cato et al., 1984"	2
"Actinomyces naeslundi"	"Actinomyces naeslundii"	"Thompson et al., 1951"	2
"Actinomyces nasicola"	"Bowdeniella nasicola"	"Hall et al., 2003"	2
"Actinomyces naturae"	"Schaalia naturae"	"Rao et al., 2012"	2
"Actinomyces neuii"	"Winkia neuii"	"Funke et al., 1994"	2
"Actinomyces neuii anitratus"	"Winkia neuii anitrata"	"Funke et al., 1994"	2
"Actinomyces neuii neuii"	"Winkia neuii"	"Funke et al., 1994"	2
"Actinomyces neuii neuii"	"Winkia neuii neuii"	"Funke et al., 1994"	2
"Actinomyces odontolyticus"	"Schaalia odontolytica"	"Batty, 1958"	2
"Actinomyces pyogenes"	"Trueperella pyogenes"	"Reddy et al., 1982"	2
"Actinomyces radingae"	"Schaalia radingae"	"Wust et al., 1998"	2
"Actinomyces suimastitidis"	"Schaalia suimastitidis"	"Hoyles et al., 2001"	2
"Actinomyces suis"	"Actinobaculum suis"	"Ludwig et al., 1992"	2
"Actinomyces tangfeifanii"	"Boudabousia tangfeifanii"	"Meng et al., 2018"	2
