"fullname"	"fullname_new"	"ref"	"prevalence"
"Nosema bengalis"	"Microsporidium bengalis"	"Weiser et al., 1981"	3
"Nosema bombycis"	"Glugea bombycis"	"Nageli, 1857"	3
"Nosema branchialis"	"Loma branchialis"	"Nemeczek, 1911"	3
"Nosema cernosvitovi"	"Microsporidium cernosvitovi"	"Jirovec, 1936"	3
"Nosema connori"	"Anncaliia connori"	"Sprague, 1974"	3
"Nosema corethrae"	"Octosporea corethrae"	"Lutz et al., 1908"	3
"Nosema cotti"	"Microsporidium cotti"	"Chatton et al., 1923"	3
"Nosema cristatellae"	"Pseudonosema cristatellae"	"Canning et al., 1997"	3
"Nosema cyclopis"	"Microsporidium cyclopis"	"Kudo, 1921"	3
"Nosema dikerogammari"	"Cucumispora dikerogammari"	"Ovcharenko et al., 1987"	3
"Nosema diplostomi"	"Unikaryon diplostomi"	"Schigina et al., 1972"	3
"Nosema distomi"	"Microsporidium distomi"	"Lutz et al., 1908"	3
"Nosema echinostomi"	"Microsporidium echinostomi"	"Brumpt, 1922"	3
"Nosema ephemerae"	"Microsporidium ephemerae"	"Lutz et al., 1908"	3
"Nosema fennica"	"Glugea fennica"	"Lom et al., 1969"	3
"Nosema ghigii"	"Microsporidium ghigii"	"Guyenot et al., 1925"	3
"Nosema gigantea"	"Thelohania gigantea"	"Labbe, 1899"	3
"Nosema girardini"	"Microsporidium girardini"	"Lutz et al., 1908"	3
"Nosema grylli"	"Paranosema grylli"	"Sokolova et al., 1994"	3
"Nosema haematobium"	"Microsporidium haematobium"	"Jirovec, 1936"	3
"Nosema heteroica"	"Pleistophora heteroica"	"Moniez, 1887"	3
"Nosema heterosporum"	"Vairimorpha heterosporum"	"Kellen et al., 1974"	3
"Nosema ixodis"	"Unikaryon ixodis"	"Weiser, 1957"	3
"Nosema kingi"	"Tubulinosema kingi"	"Kramer, 1964"	3
"Nosema legeri"	"Unikaryon legeri"	"Dollfus, 1912"	3
"Nosema leptophlebiae"	"Microsporidium leptophlebiae"	"Weiser, 1946"	3
"Nosema locustae"	"Antonospora locustae"	"Canning, 1953"	3
"Nosema longifilum"	"Microsporidium longifilum"	"Hesse, 1905"	3
"Nosema lymantriae"	"Vairimorpha lymantriae"	"Weiser, 1957"	3
"Nosema maroccanus"	"Tubulinosema maroccanus"	"Krilova et al., 1987"	3
"Nosema meligethi"	"Anncaliia meligethi"	"Issi et al., 1979"	3
"Nosema mesnili"	"Vairimorpha mesnili"	"Weiser, 1961"	3
"Nosema micrococcus"	"Microsporidium micrococcus"	"Weiser, 1961"	3
"Nosema necatrix"	"Microsporidium necatrix"	"Kramer, 1965"	3
"Nosema nelsoni"	"Perezia nelsoni"	"Sprague, 1950"	3
"Nosema operophterae"	"Orthosomella operophterae"	"Canning, 1960"	3
"Nosema orthocladii"	"Microsporidium orthocladii"	"Coste-Mathiez et al., 1968"	3
"Nosema pimphales"	"Microsporidium pimphales"	"Fantham et al., 1941"	3
"Nosema plodiae"	"Vairimorpha plodiae"	"Kellen et al., 1968"	3
"Nosema polygonum"	"Microsporidium polygonum"	"Budde, 1927"	3
"Nosema pulvis"	"Ameson pulvis"	"Perez, 1905"	3
"Nosema rhionicae"	"Microsporidium rhionicae"	"Voronin, 1974"	3
"Nosema sauridae"	"Microsporidium sauridae"	"Narasimhamurti et al., 1972"	3
"Nosema schneideri"	"Tuzetia schneideri"	"Leger et al., 1910"	3
"Nosema spelotremae"	"Microsporidium spelotremae"	"Guyenot et al., 1925"	3
"Nosema stephani"	"Glugea stephani"	"Hagenmuller, 1899"	3
"Nosema takedai"	"Kabatana takedai"	"Miki et al., 1977"	3
"Nosema termitis"	"Microsporidium termitis"	"Kudo, 1943"	3
"Nosema tisae"	"Glugea tisae"	"Lom et al., 1969"	3
"Nosema tritoni"	"Microsporidium tritoni"	"Weiser, 1960"	3
"Nosema valamugili"	"Microsporidium valamugili"	"Kalavati et al., 1982"	3
"Nosema varivestis"	"Anncaliia varivestis"	"Brooks et al., 1985"	3
"Nosema vayssierei"	"Pleistophora vayssierei"	"Hesse, 1905"	3
"Nosema virgula"	"Thelohania virgula"	"Moniez, 1887"	3
"Nosema vivieri"	"Nosemoides vivieri"	"Vinckier et al., 1970"	3
"Nosema whitei"	"Paranosema whitei"	"Weiser, 1953"	3
"Nosemoides syacii"	"Neonosemoides syacii"	"Faye et al., 1994"	3
"Nosemoides tilapiae"	"Neonosemoides tilapiae"	"Sakiti et al., 1987"	3
"Novosphingobium aromaticivorum"	"Novosphingobium aromaticivorans"	"Takeuchi et al., 2001"	2
"Novosphingobium roseae"	"Novosphingobium rosa"	"Takeuchi et al., 2001"	2
"Novosphingobium stygiae"	"Novosphingobium stygium"	"Takeuchi et al., 2001"	
"Novosphingobium stygiae"	"Novosphingobium aromaticivorans"	"Takeuchi et al., 2001"	2
"Novosphingobium stygium"	"Novosphingobium aromaticivorans"	"Takeuchi et al., 2001"	2
"Novosphingobium subarcticum"	"Novosphingobium resinovorum"	"Takeuchi et al., 2001"	2
"Novosphingobium subterraneae"	"Novosphingobium subterraneum"	"Takeuchi et al., 2001"	2
"Novosphingobium suterraneae"	"Novosphingobium subterraneum"	"Takeuchi et al., 2001"	2
"Novosphingobium tardaugens"	"Caenibius tardaugens"	"Fujii et al., 2003"	2
"Nozemia cactorum"	"Phytophthora cactorum"	"Pethybr, 1913"	3
"Nozemia macrospora"	"Sclerophthora macrospora"	"Tasugi, 1931"	3
"Nozemia nicotianae"	"Phytophthora nicotianae"	"Pethybr, 1913"	3
"Nozemia syringae"	"Phytophthora syringae"	"Pethybr, 1913"	3
"Nubecularia antillarum"	"Cornuspiramia antillarum"	"Cushman, 1922"	3
"Nubecularia bradyi"	"Parrina bradyi"	"Millett, 1898"	3
"Nubecularia decorata"	"Nubeculinita decorata"	"Heron-Allen et al., 1915"	3
"Nummoculina contraria"	"Nummoloculina contraria"	"DOrbigny, 1846"	3
"Nummoloculina irregularis"	"Pyrgoella irregularis"	"DOrbigny, 1839"	3
"Nummulina (Assiline) nitida"	"Assilina nitida"	"DOrbigny, 1826"	3
"Nummulina discoidalis"	"Assilina discoidalis"	"DOrbigny in Guerin-Meneville, 1832"	3
"Nummulites cumingii"	"Operculinella cumingii"	"Carpenter, 1860"	3
"Nummulites venosus"	"Palaeonummulites venosus"	"Fichtel et al., 1798"	3
"Nummulopyrgo milletti"	"Pseudopyrgo milletti"	"Cushman, 1917"	3
"Nuttallides bradyi"	"Osangulariella bradyi"	"Earland, 1934"	3
"Nyctitherus velox"	"Nyctotherus velox"	"Leidy, 1849"	3
"Nyctotheroides ampullariarum"	"Gasconyctus ampullariarum"	"Cordero"	3
"Nyctotheroides chabaudi"	"Cryptonyctus chabaudi"	"Albaret, 1972"	3
"Nyctotheroides cheni"	"Sicuophora cheni"	"Wichterman, 1934"	3
"Nyctotheroides tejerai"	"Aduncuperistomatus tejerai"	"Amaro et al., 1968"	3
"Nyctotherus ampullariarum"	"Gasconyctus ampullariarum"	"Cordero, 1928"	3
"Nyctotherus cardiostomatus"	"Dizonyctus cardiostomatus"	"Ngassam, 1983"	3
"Nyctotherus cheni"	"Sicuophora cheni"	"Wichterman, 1934"	3
"Nyctotherus cordiformis"	"Nyctotheroides cordiformis"	"Grasse, 1928"	3
"Nyctotherus kempi"	"Pilonyctus kempi"	"Ghosh, 1921"	3
"Nyctotherus magnus"	"Sicuophorides magnus"	"Bezzenberger, 1904"	3
"Nyctotherus tejerai"	"Aduncuperistomatus tejerai"	"Pinto, 1926"	3
"Obliquostoma enchelyodontides"	"Declivistoma enchelyodontides"	"Foissner et al., 2002"	3
"Oceanibulbus"	"Sulfitobacter"	"Wagner-Dobler et al., 2004"	2
"Oceanibulbus indolifex"	"Sulfitobacter indolifex"	"Wagner-Dobler et al., 2004"	2
"Oceanicola antarcticus"	"Pseudooceanicola antarcticus"	"Huo et al., 2014"	2
"Oceanicola batsensis"	"Pseudooceanicola batsensis"	"Cho et al., 2004"	2
"Oceanicola flagellatus"	"Pseudooceanicola flagellatus"	"Huo et al., 2014"	2
"Oceanicola litoreus"	"Vannielia litorea"	"Park et al., 2013"	2
"Oceanicola marinus"	"Pseudooceanicola marinus"	"Lin et al., 2007"	2
"Oceanicola nanhaiensis"	"Pseudooceanicola nanhaiensis"	"Gu et al., 2007"	2
"Oceanicola nitratireducens"	"Pseudooceanicola nitratireducens"	"Zheng et al., 2010"	2
"Oceanicola pacificus"	"Lutimaribacter pacificus"	"Yuan et al., 2009"	2
"Oceanitalea"	"Georgenia"	"Fu et al., 2012"	2
"Oceanitalea nanhaiensis"	"Georgenia satyanarayanai"	"Fu et al., 2012"	2
"Oceanobacillus soja"	"Oceanobacillus sojae"	"Tominaga et al., 2009"	2
"Oceanomonas"	"Oceanimonas"	"Brown et al., 2001"	1
"Oceanomonas baumannii"	"Oceanimonas baumannii"	"Brown et al., 2001"	1
"Oceanomonas doudoroffii"	"Oceanimonas doudoroffii"	"Brown et al., 2001"	1
"Oceanospirillum beijerinckii pelagicum"	"Oceanospirillum beijerinckii"	"Pot et al., 1989"	1
"Oceanospirillum commune"	"Marinomonas communis"	"Bowditch et al., 1984"	1
"Oceanospirillum hiroshimense"	"Oceanospirillum maris"	"Terasaki, 1979"	1
"Oceanospirillum jannaschii"	"Marinobacterium jannaschii"	"Bowditch et al., 1984"	1
"Oceanospirillum japonicum"	"Pseudospirillum japonicum"	"Hylemon et al., 1973"	1
"Oceanospirillum kriegii"	"Oceanobacter kriegii"	"Bowditch et al., 1984"	1
"Oceanospirillum maris hiroshimense"	"Oceanospirillum maris"	"Pot et al., 1989"	1
"Oceanospirillum maris williamsae"	"Oceanospirillum maris"	"Linn et al., 1989"	1
"Oceanospirillum minutulum"	"Marinospirillum minutulum"	"Hylemon et al., 1973"	1
"Oceanospirillum pelagicum"	"Oceanospirillum beijerinckii"	"Terasaki, 1979"	1
"Oceanospirillum pusillum"	"Terasakiella pusilla"	"Terasaki, 1979"	2
"Ocellaria nashi"	"Leptosphaeria nashi"	"Hara, 1907"	2
"Ochrobactrum anthropi"	"Brucella anthropi"	"Holmes et al., 1988"	2
"Ochrobactrum ciceri"	"Brucella ciceri"	"Imran et al., 2010"	2
"Ochrobactrum cytisi"	"Brucella cytisi"	"Zurdo-Pineiro et al., 2007"	2
"Ochrobactrum daejeonense"	"Brucella daejeonensis"	"Woo et al., 2011"	2
"Ochrobactrum endophyticum"	"Brucella endophytica"	"Li et al., 2016"	2
"Ochrobactrum gallinifaecis"	"Brucella gallinifaecis"	"Kampfer et al., 2003"	2
"Ochrobactrum grignonense"	"Brucella grignonensis"	"Lebuhn et al., 2000"	2
"Ochrobactrum haematophilum"	"Brucella haematophila"	"Kampfer et al., 2007"	2
"Ochrobactrum intermedium"	"Brucella intermedia"	"Velasco et al., 1998"	2
"Ochrobactrum lupini"	"Brucella lupini"	"Trujillo et al., 2006"	2
"Ochrobactrum oryzae"	"Brucella oryzae"	"Tripathi et al., 2006"	2
"Ochrobactrum pecoris"	"Brucella pecoris"	"Kampfer et al., 2011"	2
"Ochrobactrum pituitosum"	"Brucella pituitosa"	"Huber et al., 2010"	2
"Ochrobactrum pseudintermedium"	"Brucella pseudintermedia"	"Teyssier et al., 2007"	2
"Ochrobactrum pseudogrignonense"	"Brucella pseudogrignonensis"	"Kampfer et al., 2007"	2
"Ochrobactrum rhizosphaerae"	"Brucella rhizosphaerae"	"Kampfer et al., 2008"	2
"Ochrobactrum thiophenivorans"	"Brucella thiophenivorans"	"Kampfer et al., 2008"	2
"Ochrobactrum tritici"	"Brucella tritici"	"Lebuhn et al., 2000"	2
"Ochroconis anellii"	"Scolecobasidium anellii"	"De Hoog et al., 1974"	2
"Ochroconis gamsii"	"Scolecobasidium gamsii"	"De Hoog, 1985"	2
"Ochroconis humicola"	"Scolecobasidium humicola"	"De Hoog et al., 1974"	2
"Ochronectria calami"	"Nectria calami"	"Rossman et al., 1999"	2
"Octadecabacter jejudonensis"	"Pseudooctadecabacter jejudonensis"	"Park et al., 2014"	2
"Octosporea ephestiae"	"Vairimorpha ephestiae"	"Weiser, 1961"	3
"Octosporea machari"	"Glugea machari"	"Jirovec, 1934"	3
"Octosporomyces octosporus"	"Schizosaccharomyces octosporus"	"Kudryavtsev, 1960"	3
"Oculosiphon linearis"	"Rhabdammina linearis"	"Brady, 1879"	3
"Oedocephalum sulphureum"	"Oidiodendron sulphureum"	"Cooke et al., 1888"	2
"Oerskovia xanthineolytica"	"Cellulosimicrobium cellulans"	"Lechevalier et al., 2018"	2
"Oidium albicans"	"Candida albicans"	"Robin, 1853"	2
"Oidium dermatitidis"	"Blastomyces dermatitidis"	"Ricketts, 1901"	3
"Oidium furfur"	"Malassezia furfur"	"Zopf, 1890"	2
"Oidium quinckeanum"	"Trichophyton quinckeanum"	"Zopf, 1890"	2
"Oidium schoenleinii"	"Trichophyton schoenleinii"	"Lebert, 1845"	2
"Oidium suaveolens"	"Saprochaete suaveolens"	"Krzemecki, 1913"	3
"Oidium tonsurans"	"Trichophyton tonsurans"	"Zopf, 1890"	2
"Oinomikadoina ogiensis"	"Caribeanella ogiensis"	"Matsunaga, 1954"	3
"Oleinis lateralis"	"Oleina lateralis"	"Clem, 1931"	3
"Olgia pacifica"	"Olgita pacifica"	"Cushman, 1924"	3
"Oligotropha"	"Afipia"	"Meyer et al., 1994"	2
"Oligotropha carboxidovorans"	"Afipia carboxidovorans"	"Meyer et al., 1994"	2
"Olpidiopsis andreei"	"Sirolpidium andreei"	"Karling, 1942"	3
"Olpidiopsis antithamnionis"	"Pontisma antithamnionis"	"Whittick et al., 1972"	3
"Olpidiopsis dangeardii"	"Pontisma dangeardii"	"Feldmann et al., 1967"	3
"Olpidiopsis feldmannii"	"Pontisma feldmannii"	"Aleem, 1952"	3
"Olpidiopsis gracilis"	"Gracea gracilis"	"Karling, 1942"	3
"Olpidiopsis irregularis"	"Cornumyces irregularis"	"Const, 1901"	3
"Olpidiopsis karlingiae"	"Cornumyces karlingiae"	"Karling, 1949"	3
"Olpidiopsis magnusii"	"Pontisma magnusii"	"Feldmann et al., 1955"	3
"Olpidiopsis sphacelarum"	"Anisolpidium sphacelarum"	"Sparrow, 1943"	3
"Olpidiopsis tumefaciens"	"Eurychasmidium tumefaciens"	"Cejp, 1959"	3
"Olpidium bryopsidis"	"Sirolpidium bryopsidis"	"De Bruyne, 1890"	3
"Olpidium dicksonii"	"Eurychasma dicksonii"	"Wille, 1899"	3
"Olpidium fulgens"	"Pleotrachelus fulgens"	"Karling, 1977"	3
"Olpidium gillii"	"Olpidiopsis gillii"	"De Wild, 1896"	3
"Olpidium glenodinianum"	"Sirolpidium glenodinianum"	"Dang, 1888"	3
"Olpidium lauderiae"	"Ectrogella lauderiae"	"Gran, 1900"	3
"Olpidium lemnae"	"Reessia lemnae"	"Schrot, 1886"	3
"Olpidium marinum"	"Sirolpidium marinum"	"Dang, 1912"	3
"Olpidium sphacelarum"	"Anisolpidium sphacelarum"	"Sacc, 1895"	3
"Olpidium sphaeritae"	"Olpidiopsis sphaeritae"	"Dang, 1888"	3
"Olpidium stigeoclonii"	"Canteriomyces stigeoclonii"	"De Wild, 1900"	3
"Olpidium tumefaciens"	"Eurychasmidium tumefaciens"	"Berl et al., 1888"	3
"Olpidium virulentus"	"Pleotrachelus virulentus"	"Karling, 1977"	3
"Olpidium wildemanii"	"Pleotrachelus wildemanii"	"Karling, 1977"	3
"Olpidium zopfianus"	"Pleotrachelus zopfianus"	"Karling, 1977"	3
"Olsenella faecalis"	"Paratractidigestivibacter faecalis"	"Han et al., 2019"	2
"Olsenella scatoligenes"	"Tractidigestivibacter scatoligenes"	"Li et al., 2015"	2
"Ommatartus tetrathalamus coronatus"	"Didymocyrtis tetrathalamus coronatus"	"Haeckel, 1887"	3
"Ommatartus tetrathalamus tetrathalamus"	"Didymocyrtis tetrathalamus tetrathalamus"	"Haeckel"	3
"Ondiniella torquata"	"Halosphaeria torquata"	"Jones et al., 1984"	3
"Onychocola sclerotica"	"Malbranchea sclerotica"	"Gibas et al., 2002"	2
"Onychodactylus acrobates"	"Hartmannula acrobates"	"Entz, 1884"	3
"Onychodromopsis tihanyiensis"	"Apoamphisiella tihanyiensis"	"Gellert et al., 1958"	3
"Oolina acuticosta"	"Homalohedra acuticosta"	"Reuss, 1862"	3
"Oolina apiculata"	"Reussoolina apiculata"	"Reuss, 1851"	3
"Oolina botelliformis"	"Parafissurina botelliformis"	"Brady, 1881"	3
"Oolina carteri"	"Reussoolina carteri"	"Albani et al., 1989"	3
"Oolina catenulata"	"Lagena catenulata"	"Jeffreys, 1848"	3
"Oolina caudata"	"Lagena caudata"	"DOrbigny, 1839"	3
"Oolina clavata"	"Procerolagena clavata"	"DOrbigny, 1846"	3
"Oolina desmophora"	"Cushmanina desmophora"	"Jones, 1872"	3
"Oolina exsculpta"	"Exsculptina exsculpta"	"Brady, 1881"	3
"Oolina favosopunctata"	"Favulina favosopunctata"	"Brady, 1881"	3
"Oolina felsinea"	"Parafissurina felsinea"	"Fornasini, 1894"	3
"Oolina heteromorpha"	"Heteromorphina heteromorpha"	"Parr, 1950"	3
"Oolina hexagona"	"Favulina hexagona"	"Williamson, 1848"	3
"Oolina hispida"	"Lagena hispida"	"Reuss, 1863"	3
"Oolina longispina"	"Fissurina longispina"	"Brady, 1881"	3
"Oolina melo"	"Favulina melo"	"DOrbigny, 1839"	3
"Oolina melosquamosa"	"Favulina melosquamosa"	"Mcculloch, 1977"	3
"Oolina neobotelliformis"	"Duplella neobotelliformis"	"McCulloch, 1977"	3
"Oolina scalariformis"	"Favulina scalariformis"	"Williamson, 1848"	3
"Oolina sidebottomi"	"Exsculptina sidebottomi"	"Earland, 1934"	3
"Oolina spiralis"	"Cushmanina spiralis"	"Brady, 1884"	3
"Oolina squamosa"	"Favulina squamosa"	"Montagu, 1803"	3
"Oolina striata"	"Lagena striata"	"DOrbigny, 1839"	3
"Oolina striatopunctata"	"Cushmanina striatopunctata"	"Parker et al., 1865"	3
"Oolina tectulostoma"	"Parafissurina tectulostoma"	"Loeblich et al., 1953"	3
"Oolina williamsoni"	"Homalohedra williamsoni"	"Alcock, 1865"	3
"Oospora betae"	"Sphaeronaemella betae"	"Delacr, 1897"	3
"Oospora chartarum"	"Stachybotrys chartarum"	"Wallr, 1833"	2
"Oospora cucumeris"	"Gabarnaudia cucumeris"	"Peck, 1888"	3
"Oospora dagatae"	"Scopulariopsis dagatae"	"Sacc, 1918"	2
"Oospora fragrans"	"Geotrichum fragrans"	"Berkhout, 1923"	3
"Oospora gigas"	"Saprochaete gigas"	"Smit et al., 1928"	3
"Oospora klebahnii"	"Dipodascus klebahnii"	"Stautz, 1931"	3
"Oospora microsperma"	"Arthropsis microsperma"	"Sacc et al., 1886"	3
"Oospora sericea"	"Saprochaete sericea"	"Stautz, 1931"	3
"Oospora suaveolens"	"Saprochaete suaveolens"	"Sacc et al., 1906"	3
"Oospora tholispora"	"Gabarnaudia tholispora"	"Arnaud, 1952"	3
"Oospora tonsurans"	"Trichophyton tonsurans"	"Sacc et al., 1911"	2
"Opalina cordiformis"	"Nyctotheroides cordiformis"	"Perty, 1852"	3
"Opalina inermis"	"Acanthophrya inermis"	"Stein, 1859"	3
"Opalina lumbrici"	"Metaradiophrya lumbrici"	"Dujardin, 1841"	3
"Opalina planariarum"	"Haptophrya planariarum"	"Siebold, 1839"	3
"Opephora martyi"	"Martyana martyi"	"Herib"	3
"Opephora pinnata"	"Staurosirella pinnata"	"Ehrenb"	3
"Opercularia berberina"	"Orbopercularia berberina"	"Linnaeus, 1767"	3
"Opercularia fabrei"	"Pyxidium fabrei"	"Faure-Fremiet, 1904"	3
"Opercularia henneguyi"	"Opisthonecta henneguyi"	"Faure-Fremiet, 1905"	3
"Opercularia zschokkei"	"Epistylis zschokkei"	"Keiser, 1921"	3
"Operculina carinata"	"Cornuspira carinata"	"Costa, 1856"	3
"Operculina heterosteginoides"	"Planoperculina heterosteginoides"	"Hofker, 1933"	3
"Operculina involvens"	"Cornuspira involvens"	"Reuss, 1850"	3
"Operculina opercularia"	"Opercularia opercularia"	"Bory"	3
"Ophiobolus drechsleri"	"Leptosphaeria drechsleri"	"Shoemaker, 1976"	2
"Ophiobolus kusanoi"	"Curvularia kusanoi"	"Nisik, 1929"	2
"Ophiobolus tanaceti"	"Leptosphaeria tanaceti"	"Sacc, 1883"	2
"Ophiodiscus wetzeli"	"Orbopercularia wetzeli"	"Jankowski, 1976"	3
"Ophionectria vernoniae"	"Nectria vernoniae"	"Hansf, 1947"	2
"Ophionella picta"	"Gerda picta"	"Kent, 1881"	3
"Ophiostoma arborea"	"Ceratocystis arborea"	"Yamaoka et al., 1997"	3
"Ophiostoma castaneae"	"Ceratocystis castaneae"	"Nannf, 1934"	3
"Ophiostoma coerulescens"	"Endoconidiophora coerulescens"	"Syd et al., 1919"	3
"Ophiostoma grandifoliae"	"Ceratocystis grandifoliae"	"Harr, 1987"	3
"Ophiostoma hyalothecium"	"Ceratocystis hyalothecium"	"Georg Hausner et al., 1993"	3
"Ophiostoma ips"	"Ceratocystis ips"	"Nannf, 1934"	3
"Ophiostoma leptographioides"	"Ceratocystis leptographioides"	"Arx, 1952"	3
"Ophiostoma lunae"	"Endoconidiophora lunae"	"Arx, 1952"	3
"Ophiostoma minor"	"Ceratocystis minor"	"Syd et al., 1919"	3
"Ophiostoma montium"	"Ceratocystis montium"	"Arx, 1952"	3
"Ophiostoma novae-zelandiae"	"Ceratocystis novae-zelandiae"	"Rulamort, 1990"	3
"Ophiostoma ponderosae"	"Ceratocystis ponderosae"	"Georg Hausner et al., 1993"	3
"Ophiostoma pseudotsugae"	"Ceratocystis pseudotsugae"	"Arx, 1952"	3
"Ophiostoma radicicola"	"Thielaviopsis radicicola"	"Arx, 1952"	3
"Ophiostoma virescens"	"Davidsoniella virescens"	"Arx, 1952"	3
"Ophiotheca chrysosperma"	"Perichaena chrysosperma"	"Curr, 1854"	3
"Ophiotheca serpula"	"Cornuvia serpula"	"Massee, 1892"	3
"Ophiotheca vermicularis"	"Perichaena vermicularis"	"Massee, 1892"	3
"Ophryocerca ovum"	"Trachelius ovum"	"Ehrenberg, 1831"	3
"Ophryoglena acuminata"	"Frontonia acuminata"	"Ehrenberg, 1834"	3
"Ophryoglena atra"	"Frontonia atra"	"Ehrenberg, 1834"	3
"Ophryoscolex janus"	"Opisthotrichum janus"	"Dogiel, 1923"	3
"Ophthalmidium acutimargo"	"Spirophthalmidium acutimargo"	"Brady, 1884"	3
"Ophthalmidium inconstans"	"Cornuloculina inconstans"	"Brady, 1879"	3
"Ophthalmidium kilianensis"	"Ophthalmina kilianensis"	"Rhumbler, 1936"	3
"Ophthalmidium tenuimargo"	"Spiroloculina tenuimargo"	"Cushman, 1917"	3
"Opisthonecta matiense"	"Telotrochidium matiense"	"Martin-Cereceda et al., 1999"	3
"Opisthostyla longipes"	"Rhabdostyla longipes"	"Stokes, 1886"	3
"Opisthostyla similis"	"Oxytricha similis"	"Stokes, 1889"	3
"Opisthotricha elongata"	"Oxytricha elongata"	"Smith, 1897"	3
"Opisthotricha emarginata"	"Urosoma emarginata"	"Stokes, 1885"	3
"Opisthotricha euglenivora"	"Oxytricha euglenivora"	"Kahl, 1932"	3
"Opisthotricha halophila"	"Oxytricha halophila"	"Kahl, 1932"	3
"Opisthotricha parahalophila"	"Oxytricha parahalophila"	"Wang et al., 1935"	3
"Opisthotricha parallela"	"Oxytricha parallela"	"Maskell, 1887"	3
"Opisthotricha procera"	"Oxytricha procera"	"Kahl, 1932"	3
"Opisthotricha similis"	"Oxytricha similis"	"Engelmann, 1862"	3
"Orbiculiforma callosa"	"Orbiculiformella callosa"	"Yeh, 1987"	3
"Orbiculiforma incognita"	"Orbiculiformella incognita"	"Blome, 1984"	3
"Orbiculiforma teres"	"Orbiculiformella teres"	"Hull, 1997"	3
"Orbiculiforma trispina"	"Orbiculiformella trispina"	"Yeh, 1987"	3
"Orbiculiforma tuberculata"	"Godia tuberculata"	"Wu et al., 1982"	3
"Orbiculiformella sanpabloensis"	"Beatricea sanpabloensis"	"Whalen et al., 2002"	3
"Orbiculina compressa"	"Cyclorbiculina compressa"	"DOrbigny, 1839"	3
"Orbitolina annularis"	"Annulopatellina annularis"	"Parker et al., 1860"	3
"Orbitolina vesicularis"	"Discogypsina vesicularis"	"Parker et al., 1860"	3
"Orbitolites duplex"	"Sorites duplex"	"Carpenter, 1883"	3
"Orbitolites marginalis"	"Sorites marginalis"	"Lamarck, 1816"	3
"Orbitolites vertebralis"	"Marginopora vertebralis"	"Quoy et al., 1830"	3
"Orbopercularia erlangensis"	"Serioscyphus erlangensis"	"Matthes et al., 1972"	3
"Orbopyxidiella matthesi"	"Orbopercularia matthesi"	"Guhl"	3
"Orbulina compressa"	"Cyclorbiculina compressa"	"DOrbigny, 1839"	3
"Orbulites marginalis"	"Sorites marginalis"	"Lamarck, 1816"	3
"Orcadella operculata"	"Licea operculata"	"Wingate, 1889"	3
"Orcadella parasitica"	"Licea parasitica"	"Hagelst, 1942"	3
"Orcadella pusilla"	"Licea pusilla"	"Hagelst, 1942"	3
"Oribaculum"	"Porphyromonas"	"Moore et al., 1994"	2
"Oribaculum catoniae"	"Porphyromonas catoniae"	"Moore et al., 1994"	2
"Ornatispora frondicola"	"Stachybotrys frondicola"	"Hyde et al., 1999"	2
"Ornatispora gamsii"	"Stachybotrys gamsii"	"Hyde et al., 1999"	2
"Ornatispora nepalensis"	"Stachybotrys nepalensis"	"Whitton et al., 2012"	2
"Ornatispora palmicola"	"Stachybotrys palmicola"	"Hyde et al., 1999"	2
"Ornatispora taiwanensis"	"Stachybotrys taiwanensis"	"Hyde et al., 1999"	2
"Orthocera pennatula"	"Vulvulina pennatula"	"Batsch, 1791"	3
"Orthocerina bicamerata"	"Chrysalidinella bicamerata"	"Heron-Allen et al., 1930"	3
"Orthodon gutta"	"Orthodonella gutta"	"Cohn, 1866"	3
"Orthomorphina proxima"	"Amphicoryna proxima"	"Silvestri, 1872"	3
"Orthomorphina radicula"	"Nodosaria radicula"	"Linnaeus, 1804"	3
"Orthoseira dickiei"	"Melosira dickiei"	"Thwaites"	3
"Orthosoma operophterae"	"Orthosomella operophterae"	"Canning et al., 1983"	3
"Oryzomonas japonicum"	"Oryzomonas japonica"	"Xu et al., 2020"	2
"Oryzomonas ruber"	"Oryzomonas rubra"	"Xu et al., 2020"	2
"Osangulariella umbonifera"	"Nuttallides umbonifera"	"Cushman, 1933"	3
"Oscillospira guilliermondi"	"Oscillospira guilliermondii"	"Chatton et al., 1913"	2
"Ostenfeldiella diplantherae"	"Plasmodiophora diplantherae"	"Ferd et al., 1914"	3
"Ovatisporangium boreale"	"Phytopythium boreale"	"Uzuhashi et al., 2010"	3
"Ovatisporangium carbonicum"	"Phytopythium carbonicum"	"Uzuhashi et al., 2010"	3
"Ovatisporangium chamaehyphon"	"Phytopythium chamaehyphon"	"Uzuhashi et al., 2010"	3
"Ovatisporangium citrinum"	"Phytopythium citrinum"	"Uzuhashi et al., 2010"	3
"Ovatisporangium helicoides"	"Phytopythium helicoides"	"Uzuhashi et al., 2010"	3
"Ovatisporangium indigoferae"	"Phytopythium indigoferae"	"Uzuhashi et al., 2010"	3
"Ovatisporangium litorale"	"Phytopythium litorale"	"Uzuhashi et al., 2010"	3
"Ovatisporangium mercuriale"	"Phytopythium mercuriale"	"Uzuhashi et al., 2010"	3
"Ovatisporangium montanum"	"Phytopythium montanum"	"Uzuhashi et al., 2010"	3
"Ovatisporangium ostracodes"	"Phytopythium ostracodes"	"Uzuhashi et al., 2010"	3
"Ovatisporangium vexans"	"Phytopythium vexans"	"Uzuhashi et al., 2010"	3
