"code"	"mo"
"5004"	"B_PPTST_ANRB"
"5005"	"B_BLAUT_CCCD"
"5006"	"B_PRVMN_MICR"
"5020"	"B_PPTCC"
"5021"	"B_PPTCC_NIGR"
"5033"	"B_FNGLD"
"5036"	"B_PRVMN"
"5042"	"B_RMNCC"
"5050"	"B_CTRDM"
"5051"	"B_CRDDS_DFFC"
"5052"	"B_CTRDM_PRFR"
"5053"	"B_CTRDM_TETN"
"5054"	"B_CTRDM_BTLN"
"5055"	"B_CTRDM_SPTC"
"5100"	"B_EBCTRM"
"5150"	"B_PRPNB"
"5151"	"B_CTBCTR_ACNS"
"5200"	"B_BFDBC"
"5400"	"B_MBLNC"
"5500"	"B_BCTRD"
"5501"	"B_BCTRD_FRGL"
"5502"	"B_BCTRD_OVTS"
"5503"	"B_BCTRD_THTT"
"5504"	"B_PHCCL_VLGT"
"5505"	"B_PRBCT_DSTS"
"5506"	"B_BCTRD_UNFR"
"5507"	"B_BCTRD_CACC"
"5550"	"B_PRVTL"
"5551"	"B_PRVTL_MLNN"
"5552"	"B_HYLSL_ORLS"
"5553"	"B_XBCTR_RMNC"
"5554"	"B_PRVTL_BIVI"
"5555"	"B_SGTLL_BUCC"
"5556"	"B_PRVTL_DNTC"
"5557"	"B_HYLSL_LSCH"
"5558"	"B_PRVTL_INTR"
"5559"	"B_PRVTL_CRPR"
"5600"	"B_PRPHYR"
"5601"	"B_PRPHYR_ASCC"
"5602"	"B_PRPHYR_GNGV"
"5650"	"B_FSBCTR"
"5651"	"B_FSBCTR_NCLT_NCLT"
"5652"	"B_FSBCTR_VARM"
"5653"	"B_FSBCTR_NCRP_NCRP"
"5654"	"B_FSBCTR_MRTF"
"5800"	"B_VLLNL"
"5801"	"B_VLLNL_PRVL"
"5900"	"B_LCTBC"
"6000"	"B_CRYNB"
"6001"	"B_CRYNB_DPHT"
"6002"	"B_CRYNB_JEKM"
"6050"	"B_LISTR"
"6051"	"B_LISTR_MNCY"
"6100"	"B_BCLLS"
"6101"	"B_BCLLS_CERS"
"6102"	"B_BCLLS_SBTL"
"6103"	"B_BCLLS_ANTH"
"6200"	"B_NOCRD"
"6201"	"B_NOCRD_ASTR"
"6203"	"B_NOCRD_BRSL"
"6300"	"B_AMYCS"
"6301"	"B_AMYCS_ISRL"
"6500"	"B_MYCBC"
"6501"	"B_MYCBC_TBRC"
"6502"	"B_MYCBC_TBRC"
"6503"	"B_MYCBC_AVIM"
"6504"	"B_MYCBC_LLRE"
"6505"	"B_MYCBC_AVIM_AVIM"
"6506"	"B_MYCBC_KNSS"
"6507"	"B_MYCBC_MRNM"
"6508"	"B_MYCBC_SCRF"
"6509"	"B_MYCBC_GRDN"
"6510"	"B_MYCBC_FRTT"
"6511"	"B_MYCBC_CHLN_CHLN"
"6512"	"B_MYCBC_ABSC"
"7000"	"F_CANDD"
"7001"	"F_CANDD_ALBC"
"7002"	"F_CANDD_TRPC"
"7003"	"F_CANDD_GLBR"
"7005"	"F_PICHI_KDRV"
"7006"	"F_MYRZY_GLLR"
"7007"	"F_CANDD_DBLN"
"7110"	"F_CRYPT"
"7111"	"F_CRYPT_NFRM"
"7120"	"F_TRCHS"
"7122"	"B_STPHY_CPTS_CPTS"
"7123"	"F_TRCHS_ASAH"
"7124"	"F_TRCHS"
"7130"	"F_RHDTR"
"7131"	"F_RHDTR_MCLG"
"7140"	"F_SCCHR"
